"ID";"ErgZei";"Typ"
39;"Finale";
40;"Rang StNr Boot/Mannschaft Ergebnis";
41;"1 4 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 3:14.89";
42;"Alexander Nagel, Karl Geiß, Philipp Jurkat, Samuel Kilgus, St. Florentin Kopf";
43;"2 7 Mannheimer Regatta-Verein e.V. (Boot 1) 3:15.42";
44;"Luis Leicht, Cornelius Tens, Jón Mensing, Bjarne Orth, St. Orlando Reeg +0:00.53";
45;"3 5 Karlsruher Ruder-Verein Wiking von 1879 e.V. 3:18.44";
46;"Wim Fischer, Henri Papp, Toni Detscher, Laurens Ochmann, St. Benedikt Schmidt +0:03.55";
47;"4 1 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 3:21.46";
48;"Laslo Seeliger, Leon Scholten, Ole Vogel, Henri Leforestier, St. Marla Pattathu +0:06.56";
49;"5 6 Ruderclub Nürtingen e.V. (Boot 2) 3:25.19";
50;"Ben Werner, Emil Semmig, Moritz Heider, Tim Lischke, St. Micha Daniel Hümpfner +0:10.30";
51;"6 2 Rgm. Mannheimer Regatta-Verein / Mannheimer RV Amicitia (Boot 2) 3:28.92";
52;"Juri Thiel, Jan Keller, Constantin Köster, Luuk Leswin, St. Johanna Englert +0:14.03";
53;"Schiedsrichter: BRANDT, Joachim (Abstatt, GER)";
54;"Rennen 103 - SM/F 8+ A, Mixed-Achter m. St. A Mix";
55;"Finale";
56;"Rang StNr Boot/Mannschaft Ergebnis";
57;"1 5 Rudergesellschaft Heidelberg 1898 e.V. 3:05.42";
58;"Anna Miucci, Anton Gerner, Felix Epp, Marit Neumann, Lenda Riegraf, Dorothee";
59;"Honnen, Dennis Großkopf, Thede de Boer, St. Marina Warnke";
60;"2 4 Breisacher Ruderverein e.V. 3:06.98";
61;"Paul Rommel, Tim Schwandt, Marius Schulz, Thomas Redhaber, Claire Licht, Lina +0:01.56";
62;"Marie Breitenfeldt, Eva-Louisa Eschbach, Clara-Larissa Eschbach, St. Hanna Oldekop";
63;"3 3 Mannheimer RV Amicitia von 1876 3:07.37";
64;"Jonas Brehm, Philipp Schmidt, Lasse Mahnke, Ole Mahnke, Verena Schuhmacher, +0:01.95";
65;"Johanna Neumann, Felice Orth, Hanna Kügler, St. Bettina Haueisen";
66;"4 1 Karlsruher Ruder-Verein Wiking von 1879 e.V. 3:09.13";
67;"Anne Fischer, Claudia Seck, Esther Linner, Sonja Arnold-Keifer, Raphael Mühlpfort, +0:03.71";
68;"Alexander Haas, Rune Grofer, Rupert Pretzler, St. Carla Abuera";
69;"5 6 Ulmer Ruderclub Donau e.V. 3:10.58";
70;"Elisa Romer, Lilly Häußler, Liz Sauter, Manuel Mützel, Mikel Mardaras-Peters, Colin +0:05.16";
71;"Gaukler, Raphael Müller, Harriet Wappler-Niemeyer, St. Ida Hoffmann";
72;"6 2 Tübinger Ruderverein ""Fidelia"" 1877/1911 e.V. 3:11.62";
73;"Benjamin Baumann, Daniel Kurz, Pia Linder, Stephanie Lismann, Jan Schleicher, +0:06.20";
74;"Björn Sbierski, Hanna Füger, Ella Knispel, St. Jakob Fabian";
75;"Schiedsrichter: MENOLD, Klaus (Heidelberg, GER)";
76;"Rennen 104 - Mäd 1x 14, Mädchen-Einer 14 Jahre";
77;"Vorlauf 1";
78;"Rang StNr Boot/Mannschaft Ergebnis";
79;"1 3 Stuttgarter Rudergesellschaft von 1899 e.V. (Boot 2) 4:11.48";
80;"Phyllis Kassai";
81;"2 2 Rudergesellschaft Eberbach 1899 e.V. 4:14.95";
82;"Sophie Fuchs +0:03.46";
83;"3 4 Breisacher Ruderverein e.V. 4:43.96";
84;"Carina End +0:32.47";
85;"4 1 Ruderclub Nürtingen e.V. 4:47.52";
86;"Amrei Kassa +0:36.03";
87;"Schiedsrichter: KORGITZSCH, Frank-Michael (Bad Dürkheim, GER)";
88;"Internet: https://breisacher-ruderverein.de Seite 2/46";
89;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
90;"Vorlauf 2";
91;"Rang StNr Boot/Mannschaft Ergebnis";
92;"1 6 Stuttgarter Rudergesellschaft von 1899 e.V. (Boot 1) 4:06.88";
93;"Mathilda Rathmann";
94;"2 7 Karlsruher Ruder-Verein Wiking von 1879 e.V. 4:38.12";
95;"Klara Pilz +0:31.24";
96;"3 5 Heidelberger Ruderklub 1872 e.V. 4:58.53";
97;"Elizabeth Baldessari +0:51.64";
98;"Schiedsrichter: LANDMANN, Lucas (Breisach, GER)";
99;"Finale";
100;"Rang StNr Boot/Mannschaft Ergebnis";
101;"1 6 Stuttgarter Rudergesellschaft von 1899 e.V. (Boot 1) 4:16.58";
102;"Mathilda Rathmann";
103;"2 2 Rudergesellschaft Eberbach 1899 e.V. 4:23.81";
104;"Sophie Fuchs +0:07.22";
105;"3 3 Stuttgarter Rudergesellschaft von 1899 e.V. (Boot 2) 4:27.17";
106;"Phyllis Kassai +0:10.58";
107;"4 1 Ruderclub Nürtingen e.V. 4:44.46";
108;"Amrei Kassa +0:27.87";
109;"5 7 Karlsruher Ruder-Verein Wiking von 1879 e.V. 5:00.10";
110;"Klara Pilz +0:43.52";
111;"6 4 Breisacher Ruderverein e.V. 5:08.15";
112;"Carina End +0:51.56";
113;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
114;"Rennen 105 - Mäd 1x 13, Mädchen-Einer 13 Jahre";
115;"Finale";
116;"Rang StNr Boot/Mannschaft Ergebnis";
117;"1 2 Rudergesellschaft Eberbach 1899 e.V. 4:46.46";
118;"Franziska Schweighardt";
119;"2 1 Rudergesellschaft Heidelberg 1898 e.V. 5:22.39";
