1;Schnulli Bulli;id;inhalt;quelle
2;Schnulli Bulli;1;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 1)
3;Schnulli Bulli;2;82 Results PR1 M1x;Sammelmappe1.pdf (Seite 1)
4;Schnulli Bulli;3;(Event) PR1 Men's Single Sculls FB;Sammelmappe1.pdf (Seite 1)
5;Schnulli Bulli;4;FRI 26 SEP 2025 Race 102;Sammelmappe1.pdf (Seite 1)
6;Schnulli Bulli;5;World Best: UKR POLIANSKYI Roman Varese (ITA) 2023 World Cup 8:50.38;Sammelmappe1.pdf (Seite 1)
7;Schnulli Bulli;6;World Champ' Best: GBR PRITCHARD Benjamin Shanghai, China (CHN) 2025 World Championships 8:56.14;Sammelmappe1.pdf (Seite 1)
8;Schnulli Bulli;7;World Champion: UKR POLIANSKYI Roman Belgrade (SRB) 2023 World Championships 8:59.60;Sammelmappe1.pdf (Seite 1)
9;Schnulli Bulli;8;Ctry Total;Sammelmappe1.pdf (Seite 1)
10;Schnulli Bulli;9;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 1)
11;Schnulli Bulli;10;Code Rank;Sammelmappe1.pdf (Seite 1)
12;Schnulli Bulli;11;1 2 BRA CAMPOS PEREIRA Rene 2:20.47 (1) 4:48.78 (1) 7:20.59 (1) 9:53.53 7;Sammelmappe1.pdf (Seite 1)
13;Schnulli Bulli;12;2:28.31 (1) 2:31.81 (1) 2:32.94 (1);Sammelmappe1.pdf (Seite 1)
14;Schnulli Bulli;13;2 3 MEX MUNOZ MALAGON Michel 2:25.38 (3) 4:59.13 (3) 7:34.23 (2) 10:07.18 8;Sammelmappe1.pdf (Seite 1)
15;Schnulli Bulli;14;2:33.75 (2) 2:35.10 (2) 2:32.95 (2);Sammelmappe1.pdf (Seite 1)
16;Schnulli Bulli;15;4.91 10.35 13.64 13.65;Sammelmappe1.pdf (Seite 1)
17;Schnulli Bulli;16;3 1 JPN MORI Takuya 2:22.87 (2) 4:57.85 (2) 7:35.63 (3) 10:09.56 9;Sammelmappe1.pdf (Seite 1)
18;Schnulli Bulli;17;2:34.98 (3) 2:37.78 (3) 2:33.93 (3);Sammelmappe1.pdf (Seite 1)
19;Schnulli Bulli;18;2.40 9.07 15.04 16.03;Sammelmappe1.pdf (Seite 1)
20;Schnulli Bulli;19;4 4 EGY IBRAHIM Alaa Hassan 2:32.06 (4) 5:15.65 (4) 8:01.15 (4) 10:41.51 10;Sammelmappe1.pdf (Seite 1)
21;Schnulli Bulli;20;2:43.59 (4) 2:45.50 (4) 2:40.36 (4);Sammelmappe1.pdf (Seite 1)
22;Schnulli Bulli;21;11.59 26.87 40.56 47.98;Sammelmappe1.pdf (Seite 1)
23;Schnulli Bulli;22;Legend:;Sammelmappe1.pdf (Seite 1)
24;Schnulli Bulli;23;F Final;Sammelmappe1.pdf (Seite 1)
25;Schnulli Bulli;24;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 1)
26;Schnulli Bulli;25;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 1)
27;Schnulli Bulli;26;Report Created FRI 26 SEP 2025 / 13:29;Sammelmappe1.pdf (Seite 1)
28;Schnulli Bulli;27;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 2)
29;Schnulli Bulli;28;81 Results PR1 W1x;Sammelmappe1.pdf (Seite 2)
30;Schnulli Bulli;29;(Event) PR1 Women's Single Sculls F;Sammelmappe1.pdf (Seite 2)
31;Schnulli Bulli;30;FRI 26 SEP 2025 Race 107;Sammelmappe1.pdf (Seite 2)
32;Schnulli Bulli;31;World Best: NOR SKARSTEIN Birgit Varese (ITA) 2023 World Cup 9:47.83;Sammelmappe1.pdf (Seite 2)
33;Schnulli Bulli;32;World Champ' Best: NOR SKARSTEIN Birgit Belgrade (SRB) 2023 World Championships 9:54.08;Sammelmappe1.pdf (Seite 2)
34;Schnulli Bulli;33;World Champion: NOR SKARSTEIN Birgit Belgrade (SRB) 2023 World Championships 10:05.91;Sammelmappe1.pdf (Seite 2)
35;Schnulli Bulli;34;Ctry Total;Sammelmappe1.pdf (Seite 2)
36;Schnulli Bulli;35;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 2)
37;Schnulli Bulli;36;Code Rank;Sammelmappe1.pdf (Seite 2)
38;Schnulli Bulli;37;1 4 UKR SHEREMET Anna 2:26.85 (1) 5:03.46 (1) 7:42.51 (1) 10:18.49 1;Sammelmappe1.pdf (Seite 2)
39;Schnulli Bulli;38;2:36.61 (1) 2:39.05 (1) 2:35.98 (1);Sammelmappe1.pdf (Seite 2)
40;Schnulli Bulli;39;2 3 KOR KIM Sejeong 2:37.23 (2) 5:21.13 (2) 8:06.80 (2) 10:47.53 2;Sammelmappe1.pdf (Seite 2)
41;Schnulli Bulli;40;2:43.90 (3) 2:45.67 (3) 2:40.73 (3);Sammelmappe1.pdf (Seite 2)
42;Schnulli Bulli;41;10.38 17.67 24.29 29.04;Sammelmappe1.pdf (Seite 2)
43;Schnulli Bulli;42;3 5 CHN SHAO Shasha 2:42.81 (4) 5:25.97 (3) 8:11.13 (3) 10:50.78 3;Sammelmappe1.pdf (Seite 2)
44;Schnulli Bulli;43;2:43.16 (2) 2:45.16 (2) 2:39.65 (2);Sammelmappe1.pdf (Seite 2)
45;Schnulli Bulli;44;15.96 22.51 28.62 32.29;Sammelmappe1.pdf (Seite 2)
