ID;MasterID;Typ
1;191996.0;Rennen
2;191997.0;Abt
3;191998.0;x
4;191999.0;
5;192000.0;
6;192001.0;
7;192002.0;
8;192003.0;
9;192004.0;
10;192005.0;
11;192006.0;
12;192007.0;Schiri
13;192008.0;Rennen
14;192009.0;Abt
15;192010.0;x
16;192011.0;
17;192012.0;
18;192013.0;
19;192014.0;
20;192015.0;
21;192016.0;
22;192017.0;
23;192018.0;
24;192019.0;
25;192020.0;Schiri
26;192021.0;Abt
27;192022.0;x
28;192023.0;
29;192024.0;
30;192025.0;
31;192026.0;
32;192027.0;
33;192028.0;
34;192029.0;
35;192030.0;
36;192031.0;Schiri
37;192032.0;Seite
38;192033.0;x
39;192034.0;Abt
40;192035.0;x
41;192036.0;
42;192037.0;
43;192038.0;
44;192039.0;
45;192040.0;
46;192041.0;
47;192042.0;
48;192043.0;
49;192044.0;
50;192045.0;
51;192046.0;
52;192047.0;
53;192048.0;Schiri
54;192049.0;Rennen
55;192050.0;Abt
56;192051.0;x
...;;
